@Username,Tweet,Lokasi
kompascom,Sandiaga Uno akan mendorong realisasi penambahan libur pada hari kejepit nasional (Harpitnas) tahun ini. https://t.co/sZMdNI7GOF,Jakarta
ence_dwi,"@evylagi Waktu saya SD, menpar saat itu Joop Ave bukan Sandiaga Uno 🥲",
zxnm88473822,"Di Depan Pimpinan Gerindra, Sandiaga Uno Jawab Isu Gabung ke PPP #KitaGerindra #IkutPakde Prabowo Subianto https://t.co/fX0RZQ3QDX",
IndianEmbJkt,"Untuk merayakan #IYM2023, kompetisi ""Masakan Indonesia Sehat dengan Millet"" diselenggarakan di Kedubes pada tanggal 20 Februari.

Duta Besar Manoj K Bharti dan Bapak Sandiaga Uno, Menteri Pariwisata dan Ekonomi Kreatif menyemarakkan acara tersebut dan membagikan hadiah.","Gama Tower, Jakarta"
IndianEmbJkt,"To celebrate the #IYM2023, a ""Healthy Indonesian cuisine with Millets"" competition was organised at the Embassy on 20th February. 

Ambassador Mr. Manoj K Bharti and H.E. Mr. Sandiaga Uno, Hon'ble Minister of Tourism and Creative Economy graced the event and distributed prizes. https://t.co/VYAk1RjgqB","Gama Tower, Jakarta"
kompascom,Menparekraf Sandiaga Uno memastikan persiapan pelaksanaan F1 PowerBoat Danau Toba berjalan optimal serta siap menyambut pembalap dan wisatawan. https://t.co/kqditpbP6c,Jakarta
voidotid,"Menteri Pariwisata dan Ekonomi Kreatif (Menparekraf) Sandiaga Uno mengatakan, persiapan kejuaraan dunia balap perahu motor F1 Powerboat World Championship (F1H2O)
https://t.co/IN7WnQZTaE https://t.co/HVFYqPmTA7","DKI Jakarta, Indonesia"
bilyssaputra1,"Dihadiri Sandiaga Uno, Gerindra Banten Rayakan HUT ke 15 dengan Bagi-bagi 22 Tiket Umroh
#KitaGerindra #IkutPakde Prabowo Subianto https://t.co/XG4ySrb5Fq","DKI Jakarta, Indonesia"
monitorindo,"Upaya Penyelamatan Industri Hotel Indonesia, Sandiaga Dorong Regulasi Hari Libur Nasional Berbasis Harpitnas   https://t.co/GGvTW6Myof #Menparekraf #SandiagaUno #IndustriHotel #Covid19 #PHRI #HIPMI #ASITA #IKMA",Jakarta
arakarakan69,"Sandiaga Uno Janji Teruskan Aspirasi Rakyat &amp; Petinggi Gerindra Optimis Banten Tetap Jadi Lumbung Prabowo
#KitaGerindra #IkutPakde Prabowo Subianto https://t.co/c42OOoqBRP",San Andreas
tempo_english,Sandiaga Uno Reminds CHSE Certification for Bromo Glass Bridge https://t.co/LM7d0xlIdS #TempoEnglish,"Jakarta, Indonesia"
artiasdeby3,"Dihadiri Sandiaga Uno, Gerindra Banten Rayakan HUT ke 15 dengan Bagi-bagi 22 Tiket Umroh
#KitaGerindra #IkutPakde Prabowo Subianto https://t.co/1TuVCdqXvh",
futkiaw,"Sementara itu, Ujang menilai Ridwan Kamil dan Sandiaga Uno sebagai kuda hitam cawapres 2024. Keduanya disebut terkendala maju sebagai cawapres karena tidak adanya partai politik (parpol) yang mau mengusung. #BersamaJuara #RKGolkar",Bangka 
sobat_sandi,"Pisang Goreng ❎
Hihang Hoheng ✅

#sandiagauno #sandiuno #kemenaprekraf #ekonomi #kreatif  #Indonesia #Twitter #viral #Trending #zonauang Pagii Selasa Senin Don't Lie THEY NEED TO APOLOGIZE #HUTBCA66 #Food #kuliner #culinary #dessert https://t.co/se7jklcTRH",
neinaadella07,"Saya titip ekonomi harus kita terus genjot. Ekonomi harus semakin lebih baik,"" ujar Sandiaga Uno melalui pengeras suara kepada ribuan simpatisan dan kader Partai Gerindra yang hadir di lokasi.
#KitaGerindra #IkutPakde Prabowo Subianto",
detikcom,Menparekraf Sandiaga Uno mengungkit kembali kegagalannya dalam membangun usaha penerbangan. Maskapainya harus setop operasi hanya dalam dua tahun.  https://t.co/bnJv8nxVc7,"Jakarta, Indonesia"
erick140451997,"Sandiaga Uno Janji Teruskan Aspirasi Rakyat &amp; Petinggi Gerindra Optimis Banten Tetap Jadi Lumbung Prabowo
#KitaGerindra #IkutPakde Prabowo Subianto https://t.co/Y5U8ulTEsB",
ceklissatucom,Sandiaga Ungkap Penyebab Harga Tiket Pesawat Masih Tinggi #SandiagaUno #TiketPesawat https://t.co/Tn8EioHIto,"Bogor, Indonesia"
tempodotco,"Gubernur Khofifah Terpeleset di Jembatan Kaca Bromo, Sandiaga Uno Ingatkan Soal CHSE https://t.co/7pdYWIl1un #TempoTravel",Indonesia
KafegamaMM_JT,"Tulis bagaimana pendapat Sobat yuk😊👇

#Kafegama #kafegamammugm #kafegamajateng #sandiagauno #sandiagasalahuddinuno #pertumbuhanekonomi https://t.co/BKWwFpX4mO",
Cerita_Parapuan,"Dorong Pariwisata, Sandiaga Uno Segerakan Penerbangan Langsung Indonesia ke India https://t.co/2yoFlCGej5",
pakSendi1,Huffffff🥵 https://t.co/7luWP4mgiA,Malaysia
GenMediaNetwork,"Menteri Pariwisata dan Ekonomi Kreatif Republik Indonesia, Sandiaga Uno ingin Indonesia menjadi kiblat fesyen muslim dunia.

https://t.co/GyEhHcZjCI","DKI Jakarta, Indonesia"
Economicreview_,"Diselenggarakan 7 Kota Besar, Sandiaga Dukung Festival Sinema Australia https://t.co/LW9cXnrWun #sandiagauno",Jakarta Capital Region
GuysSandi,"Dimentoring Mas Menteri langsung 👌✅

#sandiagauno #sandiuno #kemenaprekraf #ekonomi #kreatif  #Indonesia #Twitter #viral #Trending #zonauang Pagii Selasa Senin Don't Lie THEY NEED TO APOLOGIZE #HUTBCA66 The Strokes #mentoring #business #zonauangᅠ https://t.co/5BLpo8NXPx",
voidotid,"Sandiaga Uno mengatakan, promo harga tiket pesawat yang turun tidak berlaku di semua provinsi di Indonesia, namun seiring dengan bertambahnya jumlah pesawat dan ketersedi... https://t.co/gUtUZSV50s","DKI Jakarta, Indonesia"
antaranews,"Menurut Sandiaga Uno, Indonesia memiliki segudang potensi untuk mendukung keinginan menjadi kiblat fesyen muslim dunia, mulai dari SDM hingga perancang busana yang andal.
https://t.co/ITt4wdp7Y8",NKRI
sobat_sandi,"Dikacangin ❎
Makan Kacang ✅

#sandiagauno #sandiuno #kemenaprekraf #ekonomi #kreatif  #Indonesia #Twitter #viral #Trending #zonauang Pagii Selasa Senin Don't Lie THEY NEED TO APOLOGIZE #HUTBCA66 https://t.co/JfFJntmbMH",
